[number]	[x]	[y]
1-1421	5682394.61	7429729.98
1-2274	5682938.46	7429647.73
1-1423	5682402.37	7429745.60
1-2370	5683595.15	7429700.06
1-2351	5683525.87	7429660.62
1-2420	5683742.84	7429679.59
1-1899	5683752.19	7429666.55
1-2252	5682943.13	7429653.74
1-2368	5683626.24	7429716.24
1-1871	5683762.92	7429653.55
O-4959	5684113.20	7429685.56
1-2253	5682944.03	7429660.86
1-2367	5683640.90	7429723.87
1-2366	5683656.44	7429731.95
1-1896	5683739.90	7429685.72
1-2365	5683671.27	7429739.67
1-2353	5683556.04	7429676.32
1-2355	5683571.12	7429684.17
1-2429	5683691.44	7429756.90
1-2363	5683695.08	7429752.06
1-2431	5683728.00	7429704.12
1-1893	5683728.50	7429704.16
1-1877	5683738.30	7429692.07
O-4990	5684116.41	7429726.58
1-2433	5683286.74	7429732.00
1-2432	5683287.31	7429725.69
1-2357	5683603.07	7429700.79
1-2434	5683723.86	7429710.95
1-1892	5683724.26	7429710.99
1-1878	5683734.56	7429698.13
O-4997	5684116.90	7429732.86
1-2358	5683619.04	7429709.11
1-1891	5683719.70	7429717.43
1-2438	5683675.85	7429777.63
1-1889	5683710.66	7429730.22
1-2447	5683687.98	7429761.51
O-5018	5684119.03	7429760.29
1-1882	5683717.92	7429723.85
1-2361	5683664.29	7429732.66
1-1888	5683706.11	7429736.65
1-1887	5683702.02	7429742.43
1-2459	5683122.27	7429758.07
1-2464	5683221.19	7429767.19
1-2454	5683223.32	7429754.17
1-2455	5683124.33	7429745.23
1-2506	5683281.22	7429752.12
1-2528	5683388.77	7429761.75
1-2442	5683388.62	7429757.85
1-2465	5683071.39	7429766.61
1-2519	5683120.18	7429771.07
1-2522	5683219.07	7429780.11
1-2467	5683694.71	7429757.19
1-2468	5683691.05	7429761.78
1-2486	5683733.30	7429772.67
1-2485	5683727.98	7429767.39
1-2520	5683327.42	7429776.69
1-2576	5683683.53	7429774.72
1-2512	5683736.10	7429779.67
1-2470	5683680.92	7429774.48
1-2478	5683634.63	7429843.42
1-2479	5683637.71	7429837.17
1-2529	5682953.11	7429770.09
O-5188	5682860.43	7429880.13
1-2534	5682900.08	7429771.00
O-5195	5682850.15	7429881.97
1-2524	5683418.93	7429798.38
1-2525	5683444.13	7429800.68
1-2572	5683448.21	7429774.48
1-2487	5683740.80	7429780.11
O-5083	5684123.36	7429816.14
1-2579	5683681.23	7429778.12
1-2509	5683755.67	7429795.03
1-2510	5683740.53	7429784.07
1-2472	5683672.51	7429787.17
1-2538	5682846.12	7429780.81
O-5215	5682810.17	7429889.14
1-2539	5682835.03	7429782.83
O-5218	5682799.78	7429891.00
1-2489	5683745.87	7429784.21
O-5086	5684123.65	7429819.83
1-2488	5683742.47	7429781.77
1-2540	5682813.07	7429786.83
O-5224	5682779.89	7429894.57
O-5227	5682760.20	7429898.10
1-2582	5683753.84	7429802.33
1-2508	5683767.53	7429803.61
1-2473	5683668.11	7429794.33
1-2584	5683670.10	7429794.51
1-2586	5683661.44	7429807.26
1-2585	5683702.81	7429811.04
1-2474	5683657.46	7429806.90
O-5237	5682721.01	7429905.12
1-2590	5683994.79	7429824.83
1-2588	5684034.12	7429828.50
O-5106	5684124.43	7429829.90
1-2491	5683773.65	7429804.18
1-2593	5683797.35	7429806.40
1-2592	5683895.72	7429815.58
1-2544	5682721.78	7429803.43
O-5241	5682700.83	7429908.74
1-2596	5683751.37	7429828.82
1-2595	5683771.29	7429830.65
1-2507	5683773.22	7429807.73
O-5243	5682690.59	7429910.57
1-2493	5683791.48	7429816.56
1-2494	5683796.19	7429818.89
1-2597	5683796.58	7429814.69
1-2546	5682699.93	7429807.41
1-2547	5682666.96	7429813.40
1-2600	5683652.96	7429819.76
1-2505	5683789.96	7429819.16
1-2605	5683894.12	7429832.77
1-2606	5683939.34	7429832.53
O-5270	5682599.41	7429926.92
O-5266	5682619.10	7429923.39
1-2549	5682631.70	7429819.82
1-2550	5682608.97	7429823.95
1-2476	5683640.92	7429837.48
1-2502	5683822.07	7429835.33
1-2608	5683939.07	7429835.34
1-2607	5683993.35	7429840.27
1-2503	5683818.02	7429832.91
1-10025	5683808.24	7429828.21
1-2551	5682597.79	7429825.99
1-10000	5683809.56	7429825.51
1-2496	5683819.57	7429830.33
O-5275	5682578.34	7429930.70
1-2552	5682586.32	7429828.07
1-2614	5684032.33	7429847.63
1-2613	5684032.97	7429840.74
O-5277	5682569.08	7429932.35
1-2553	5682576.12	7429829.93
1-2616	5683938.08	7429846.00
O-5281	5682553.43	7429935.16
1-2555	5682557.59	7429833.30
1-2477	5683637.85	7429843.71
1-2500	5683866.94	7429864.39
1-2619	5684076.96	7429851.52
O-5322	5682426.92	7429958.22
1-2626	5682403.41	7429861.31
1-2632	5682263.47	7429886.67
1-2631	5682279.12	7429883.83
1-2635	5682197.95	7429898.54
O-5369	5682218.95	7429996.24
O-5402	5682080.90	7430021.43
1-2639	5682065.16	7429922.61
1-2640	5682044.89	7429926.28
1-2649	5681841.74	7429963.09
O-5457	5681856.24	7430062.42
1-2648	5681847.75	7429962.00
O-5485	5681778.53	7430076.60
O-5482	5681787.09	7430075.04
1-2663	5681618.02	7430003.63
O-5530	5681631.08	7430102.65
O-5527	5681637.49	7430101.52
1-2669	5681537.51	7430018.22
O-5564	5681556.28	7430115.81
O-5401	5681525.62	7430020.37
1-512	5682674.24	7429288.31
1-2015	5682659.67	7429278.79
1-3	5682907.64	7429431.55	56
1-2184	5682907.27	7429428.77
1-1786	5682864.95	7429126.06
1-960	5681489.62	7427938.14
O-3264	5681051.50	7428091.00
O-3506	5681082.42	7428273.33
O-3694	5681111.04	7428445.83
1-3000	5684001.21	7429851.81
O-5072	5683086.91	7429806.45
1-2566	5682954.28	7429783.86
O-5058	5682948.77	7429793.70
1-1523	5681975.78	7428852.62
1-1657	5683269.62	7428937.24
1-1625	5683201.13	7429252.10
1-2004	5682879.51	7429222.52
1-2005	5682879.79	7429224.39
1-2006	5682673.58	7429264.33
1-10013	5682661.30	7429274.28
1-1695	5682659.94	7429275.38
1-1696	5682657.50	7429277.36
1-2049	5682635.20	7429295.43
1-10031	5682663.41	7429275.63
1-10026	5682227.17	7429012.19
1-1712	5682224.28	7429010.38
1-10	5682079.88	7429034.72
1-1382	5682007.88	7429046.30
1-2499	5683871.56	7429864.81
1-2498	5683859.46	7429856.93
1-26	5683796.56	7429590.78
O-4909	5684107.88	7429619.27
1-25	5683769.80	7429376.18
1-1931	5683770.56	7429376.25
1-23	5683125.92	7429446.89
1-24	5683044.18	7429514.78
1-10022	5683045.53	7429512.10
1-2068	5682908.28	7429436.01
1-2221	5682914.16	7429439.42
1-2323	5682984.04	7429580.47
1-30	5683257.00	7429606.30
1-29	5683459.32	7429625.98
1-1901	5683760.42	7429653.32
1-2348	5683257.78	7429603.37
1-13	5682584.35	7429512.89
1-10036	5682908.90	7429440.36
1-2205	5682908.74	7429439.25
1-2288	5682861.34	7429460.60
1-1412	5682311.03	7429560.03
O-4391	5683625.17	7429124.68
O-4750	5684097.67	7429465.38
1-1849	5683789.15	7429437.92
O-4766	5684098.83	7429485.04
1-1851	5683791.77	7429453.27
1-39	5682511.36	7428305.20
1-1163	5682573.98	7428321.82
O-3410	5682655.06	7428206.09
O-3349	5682588.05	7428151.60
1-1162	5682489.80	7428289.94
1-1161	5682453.62	7428264.34
1-1146	5682253.30	7428123.13
O-3117	5682363.81	7427968.83
O-3107	5682354.43	7427961.18
1-1144	5682243.49	7428116.22
1-1154	5682288.48	7428147.88
O-3150	5682396.38	7427995.42
1-1158	5682409.52	7428233.14
O-4879	5681461.72	7429586.61
1-1478	5682243.26	7429445.97
1-1479	5682237.12	7429433.65
1-1064	5681591.36	7427783.44
1-1063	5681592.07	7427770.47
1-1065	5681590.94	7427791.01
1-20000	5681796.10	7427764.13
1-2685	5681549.66	7427738.44
1-976	5681554.83	7427724.64
1-1666	5682518.37	7428815.63
1-1354	5683289.12	7428859.12
1-1353	5683305.84	7428806.04
1-1352	5683317.86	7428767.80
1-1350	5683325.99	7428722.43
1-1345	5683328.38	7428712.72
1-10048	5683293.06	7428709.13
1-1365	5682802.55	7428682.07
1-2386	5682592.47	7429615.12
1-2280	5682921.80	7429530.57
1-1416	5682346.32	7429634.01
1-2391	5682595.23	7429649.83
1-2	5682935.04	7429623.16	56
1-1420	5682390.22	7429722.05
1-1455	5682395.90	7429755.81
1-1456	5682391.88	7429747.53
O-5315	5682452.08	7429953.58
1-2622	5682440.80	7429854.54
O-5318	5682440.78	7429955.66
1-2625	5682412.85	7429859.60
1-2281	5682918.02	7429504.13
1-1415	5682335.66	7429609.90
1-2069	5682898.67	7429430.20
1-2200	5682341.05	7429530.75
1-2207	5682582.17	7429499.26
1-1411	5682305.84	7429549.53
1-1453	5682413.07	7429791.20
