[number]	[x]	[y]
1-2086	5682889.30	7429294.86
1-2092	5682891.22	7429309.16
1-1613	5683173.50	7429333.23
1-1569	5683187.06	7429308.61
1-2097	5683760.53	7429308.01
O-4630	5684089.07	7429332.80
1-2098	5682892.15	7429316.10
1-1932	5683768.65	7429369.42
1-2099	5682893.03	7429322.66
1-1612	5683168.48	7429345.22
1-2107	5682893.96	7429329.60
1-1611	5683165.97	7429351.22
1-2112	5682782.91	7429351.92
1-2111	5682894.35	7429332.48
1-2059	5682778.31	7429352.79
1-2113	5683764.34	7429336.05
1-2110	5683763.38	7429329.02
1-1838	5683761.24	7429335.76
1-1610	5683163.38	7429357.40
1-2121	5682806.93	7429367.25
1-2119	5682896.53	7429348.76
1-2118	5682895.67	7429342.31
1-1930	5683774.52	7429390.33
1-2106	5683771.53	7429390.06
1-1609	5683160.45	7429364.41
1-1574	5683169.10	7429351.52
1-2126	5682898.33	7429362.16
1-2129	5682898.62	7429364.35
1-2062	5682819.36	7429378.63
1-1575	5683166.51	7429357.70
1-2131	5683774.77	7429416.05
1-1927	5683780.22	7429416.53
1-1926	5683781.69	7429424.11
O-4698	5684093.74	7429399.11
O-4694	5684093.40	7429393.42
1-2138	5682838.20	7429387.22
1-1578	5683156.35	7429381.97
1-2141	5683778.15	7429443.12
1-1842	5683772.73	7429376.44
O-4705	5684094.11	7429405.30
1-1579	5683152.83	7429390.37
1-2159	5683595.94	7429438.35
1-2158	5683670.17	7429445.68
1-2156	5683779.82	7429456.51
1-1921	5683790.08	7429457.42
1-2165	5683283.10	7429407.46
1-2163	5683369.64	7429416.00
1-2162	5683419.79	7429420.96
1-1581	5683140.94	7429418.78
1-2168	5683181.60	7429422.83
1-2172	5682876.12	7429411.43
1-2171	5682904.31	7429406.73
1-2146	5682903.74	7429402.47
1-2174	5683280.61	7429432.68
1-2173	5683282.26	7429415.97
1-2176	5682905.07	7429412.39
O-4731	5684096.04	7429437.94
1-2187	5683367.14	7429441.30
1-1602	5683129.05	7429439.42
1-1603	5683132.18	7429431.94
1-2175	5682905.50	7429415.57
1-2197	5683707.75	7429489.46
1-2195	5683667.65	7429471.20
1-2194	5683593.42	7429463.81
1-2193	5683541.08	7429458.60
1-2192	5683467.64	7429451.30
1-1848	5683787.94	7429430.85
O-4745	5684097.25	7429458.39
1-10056	5683785.64	7429503.22
1-1918	5683795.85	7429504.12
1-2223	5683784.89	7429497.17
1-1584	5683129.05	7429447.19
1-2285	5682862.23	7429463.49
1-2284	5682909.18	7429442.34
1-2208	5682953.88	7429458.56
1-1601	5683110.53	7429459.68
1-2203	5682929.01	7429444.03
1-2292	5683771.95	7429461.08
1-1916	5683796.96	7429524.45
1-2295	5683668.66	7429461.05
1-2229	5682916.05	7429469.17
1-2218	5682974.95	7429474.65
1-2300	5683783.08	7429482.69
1-1920	5683794.73	7429483.77
1-2301	5683891.81	7429492.83
1-1587	5683101.03	7429471.46
1-2304	5683990.68	7429502.04
1-2297	5683993.04	7429475.58
1-1914	5683797.19	7429551.23
1-2216	5682998.79	7429488.48
1-2210	5682993.93	7429481.96
1-1598	5683075.00	7429489.18
1-2232	5682918.81	7429488.50
1-2211	5683006.26	7429489.16
1-1597	5683068.19	7429494.84
1-1913	5683796.92	7429557.22
1-2212	5683022.22	7429498.48
1-1596	5683061.26	7429500.59
1-1590	5683072.41	7429495.24
1-1912	5683796.63	7429563.72
1-1595	5683052.64	7429507.75
1-2310	5683794.93	7429577.69
1-1909	5683794.51	7429590.21
1-1593	5683049.86	7429513.96
1-2314	5683033.19	7429525.69
1-2236	5682923.64	7429522.25
1-2316	5683040.12	7429526.38
1-2385	5683080.47	7429530.39
1-2315	5683049.69	7429517.16
1-2339	5683013.70	7429545.04
1-2341	5683090.21	7429531.31
1-1908	5683791.62	7429597.72
1-1858	5683799.74	7429538.91
1-1857	5683799.03	7429524.64
1-2384	5683099.31	7429538.49
1-2342	5683109.08	7429539.43
1-1907	5683789.04	7429604.43
1-2338	5683002.36	7429556.30
1-2382	5683180.18	7429573.27
1-2239	5682928.88	7429558.91
1-1859	5683799.23	7429551.41
1-2392	5683773.81	7429628.39
1-2240	5682930.13	7429567.65
1-2336	5682984.79	7429573.76
1-2321	5682990.44	7429574.30
1-2380	5683237.15	7429597.76
1-2242	5682931.48	7429577.10
1-2334	5682978.55	7429579.95
1-2345	5683218.80	7429586.61
1-2398	5683768.28	7429637.53
1-2322	5682988.34	7429576.32
1-2401	5683763.00	7429646.25
1-1903	5683764.71	7429646.41
1-2245	5682935.54	7429605.45
1-2331	5682952.76	7429605.57
1-2347	5683252.20	7429600.97
1-2408	5683761.61	7429648.56
1-1902	5683763.28	7429648.71
1-2246	5682936.57	7429612.65
1-2330	5682947.09	7429611.20
1-2328	5682944.22	7429619.01
1-2374	5683533.85	7429668.15
1-2327	5682951.71	7429611.65
1-2413	5683347.83	7429668.87
1-2371	5683575.85	7429690.01
1-2415	5682599.32	7429701.30
1-2276	5682936.34	7429632.47
1-1422	5682398.46	7429737.73
1-2250	5682942.20	7429639.28
1-2416	5683122.12	7429656.03
1-2418	5682599.94	7429709.08
1-2251	5682942.18	7429646.22
1-2369	5683611.13	7429708.37
1-2419	5683347.08	7429676.97
1-1897	5683743.63	7429679.66
1-2417	5683750.80	7429666.42
1-2350	5683493.84	7429643.94
O-4955	5684112.82	7429680.86
1-1870	5683765.89	7429648.95
1-2254	5682944.91	7429667.88
1-2352	5683541.84	7429668.93
1-2425	5683739.17	7429685.65
1-2255	5682945.77	7429674.71
1-2426	5683735.44	7429691.81
1-1895	5683736.11	7429691.87
1-2256	5682946.91	7429683.72
1-2364	5683691.76	7429750.34
1-2427	5683731.77	7429697.88
1-1894	5683732.37	7429697.93
1-1876	5683742.09	7429685.92
O-4985	5684115.86	7429719.50
O-4982	5684115.36	7429713.02
1-1875	5683745.82	7429679.85
1-2430	5683287.75	7429720.83
1-2257	5682947.76	7429690.45
1-2356	5683583.75	7429690.74
1-2259	5682949.13	7429701.34
1-1879	5683730.69	7429704.36
O-5003	5684117.44	7429739.84
1-2260	5682950.02	7429708.36
1-2437	5683678.39	7429774.26
1-2436	5683683.09	7429768.00
1-2261	5682950.46	7429711.93
1-2359	5683634.12	7429716.96
1-1890	5683715.32	7429723.62
1-1881	5683722.10	7429717.65
O-5013	5684118.52	7429753.71
O-5008	5684117.95	7429746.43
1-1880	5683726.45	7429711.19
1-2360	5683648.77	7429724.58
1-1883	5683713.46	7429730.48
O-5025	5684119.61	7429767.77
1-2362	5683679.78	7429740.43
1-2443	5683281.06	7429748.12
1-2460	5683073.22	7429753.66
1-2567	5683692.25	7429761.89
1-2515	5683716.30	7429764.12
1-2516	5683706.16	7429758.28
1-2521	5683695.39	7429757.25
1-2568	5683687.81	7429768.43
1-2513	5683728.60	7429772.23
1-2514	5683726.14	7429769.80
1-2469	5683685.89	7429768.25
O-5076	5684122.80	7429808.96
O-5068	5684122.25	7429801.88
1-2484	5683723.47	7429764.79
1-2523	5683325.33	7429789.82
1-2565	5682954.12	7429781.96
1-2535	5682889.80	7429772.87
1-2577	5683445.64	7429790.99
1-2573	5683422.31	7429772.14
1-2575	5683420.68	7429784.83
1-2536	5682879.73	7429774.70
O-5201	5682840.45	7429883.71
1-2578	5683509.71	7429796.82
1-2571	5683512.34	7429780.27
1-2537	5682857.21	7429778.80
O-5207	5682820.56	7429887.28
1-2511	5683740.13	7429783.67
1-2471	5683678.24	7429777.84
1-2580	5683674.93	7429787.39
1-2541	5682790.62	7429790.91
1-2583	5683704.06	7429797.69
1-2542	5682766.25	7429795.34
O-5232	5682740.06	7429901.71
1-2526	5683508.16	7429806.53
1-2543	5682744.27	7429799.34
1-2591	5683940.53	7429819.76
1-2589	5684011.22	7429826.36
1-2587	5684078.72	7429832.66
O-5123	5684124.98	7429836.98
1-2490	5683761.71	7429795.60
1-2594	5683752.61	7429815.58
1-2545	5682710.62	7429805.46
1-2492	5683774.94	7429805.27
O-5244	5682679.76	7429912.52
1-2598	5683894.95	7429823.87
O-5253	5682650.76	7429917.71
1-2599	5683701.58	7429824.24
1-2475	5683649.80	7429819.47
1-2601	5683794.89	7429832.82
1-2504	5683795.89	7429822.09
1-2495	5683807.98	7429824.73
1-2604	5683894.54	7429828.22
1-2501	5683854.78	7429856.52
O-5274	5682588.87	7429928.81
1-2497	5683826.95	7429835.78
1-2609	5683893.27	7429841.88
1-2610	5684008.78	7429852.45
1-2615	5684031.70	7429854.41
1-2617	5684077.59	7429844.74
O-5279	5682560.22	7429933.94
1-2554	5682565.34	7429831.89
O-5285	5682549.39	7429935.88
1-2556	5682554.05	7429833.94
1-2611	5683992.35	7429850.99
O-5145	5683631.80	7429855.99
O-5184	5683889.43	7429878.96
1-2618	5684076.34	7429858.20
1-2627	5682395.24	7429862.79
O-5323	5682418.36	7429959.79
O-5352	5682281.93	7429984.75
O-5347	5682297.57	7429981.89
O-5366	5682234.54	7429993.39
1-2634	5682214.08	7429895.62
O-5405	5682060.91	7430025.08
O-5456	5681862.33	7430061.31
1-2654	5681764.09	7429977.16
1-2653	5681771.88	7429975.75
1-2655	5681754.06	7429978.98
O-5486	5681768.59	7430078.42
1-2662	5681624.51	7430002.45
1-2664	5681611.82	7430004.76
O-5532	5681624.77	7430103.75
O-5567	5681550.66	7430116.79
1-2668	5681543.61	7430017.12
O-5569	5681539.43	7430118.77
1-2017	5682641.34	7429294.31
1-20002	5681050.80	7428087.47
O-5124	5683422.44	7429837.03
O-5144	5683628.56	7429855.70
O-4438	5684071.14	7429164.16
O-4413	5683893.47	7429148.77
O-4402	5683738.94	7429134.81
1-7	5682805.66	7428702.62	56
1-1522	5682492.76	7428758.91
1-1658	5683274.23	7428917.75
1-6	5682832.79	7428900.56	56
1-5	5682853.92	7429053.02	56
1-1649	5683242.54	7429089.73
1-4	5682880.24	7429227.36	56
1-2013	5682671.97	7429266.86
1-2014	5682662.06	7429276.77
1-11	5682228.74	7429009.63
1-14	5682577.58	7428946.76
O-5187	5683893.91	7429879.36
1-2483	5683713.35	7429758.96
1-27	5683699.61	7429751.04
1-2466	5683697.70	7429753.43
1-10024	5683698.17	7429753.67
O-4899	5684106.83	7429606.17
1-1863	5683798.01	7429577.97
1-1864	5683793.81	7429597.92
O-4914	5684108.44	7429626.27
1-1571	5683182.04	7429320.61
1-1594	5683046.77	7429512.63
1-2409	5683758.81	7429653.17
1-2206	5682904.52	7429441.15
1-2287	5682583.91	7429510.12
1-1413	5682312.15	7429562.29
1-22	5683189.84	7429294.20
1-1886	5683697.24	7429749.19
1-1782	5683247.48	7429101.41
1-1781	5683737.06	7429146.28
O-4401	5683736.94	7429134.63
1-10041	5683249.51	7429090.39
1-1537	5683245.53	7429090.01
1-1538	5683240.50	7429100.81
1-1850	5683790.23	7429444.22
O-4753	5684098.07	7429472.17
O-4763	5684098.58	7429480.85
O-3299	5682553.01	7428123.10
1-1147	5682278.42	7428140.80
O-3138	5682386.30	7427987.19
1-1156	5682307.30	7428161.12
O-3170	5682413.28	7428009.22
1-1157	5682399.31	7428225.91
O-3252	5682501.36	7428081.05
O-3224	5682457.78	7428045.56
1-40	5682389.10	7428218.69
O-3260	5682507.57	7428086.10
1-1159	5682415.81	7428237.59
O-3270	5682520.36	7428096.52
O-3287	5682540.21	7428112.68
1-1160	5682440.55	7428255.10
O-4859	5681459.83	7429573.95
1-20007	5681795.74	7427763.95
1-20004	5681795.56	7427763.85
1-20005	5681795.92	7427764.04
1-1066	5681590.17	7427805.03
1-20006	5681794.84	7427763.49
1-20003	5681794.57	7427763.35
1-1667	5682054.54	7428900.75
1-1362	5682813.72	7428761.43
1-10037	5683298.86	7428832.23
1-1351	5683323.16	7428737.18
1-1346	5682799.11	7428659.34
1-1347	5682799.46	7428661.61
1-2279	5682925.23	7429554.54
1-2311	5682590.44	7429589.49
1-1417	5682357.96	7429657.94
1-2278	5682930.07	7429588.40
1-518	5682374.54	7429690.73
1-2411	5682597.91	7429683.54
O-5251	5681510.97	7429916.17
O-5240	5681509.78	7429908.16
1-2623	5682429.48	7429856.59
O-5313	5682463.10	7429951.55
1-2624	5682418.27	7429858.62
O-5320	5682435.17	7429956.70
1-2306	5682588.40	7429563.86
1-10001	5682580.30	7429487.51
1-2070	5682889.80	7429424.83
1-2191	5682337.95	7429524.36
1-1410	5682300.21	7429538.13
O-5314	5681516.03	7429952.04
1-2452	5682341.81	7429748.07
O-5220	5681507.25	7429891.24
1-2480	5683646.60	7429819.18
1-2461	5683017.12	7429761.65
1-2462	5682953.51	7429755.84
1-2266	5682952.00	7429756.94
1-1249	5682643.10	7428424.20
O-3519	5682746.08	7428279.74
1-1248	5682624.50	7428426.93
1-1169	5682611.44	7428428.84
O-3453	5682707.18	7428248.27
1-1164	5682601.05	7428335.61
1-1165	5682603.95	7428339.32
1-1252	5682768.57	7428453.47
O-3572	5682790.11	7428317.41
O-3559	5682779.16	7428306.51
1-1340	5682797.89	7428651.24
1-1348	5682474.93	7428719.42
1-1217	5681977.22	7428253.83
1-1210	5681974.24	7428243.76
1-1208	5681964.10	7428230.52
1-1091	5681902.52	7428296.47
1-1093	5681884.62	7428341.02
1-1092	5681892.58	7428320.91
1-1094	5681877.40	7428359.26
1-10050	5681953.94	7428410.08
1-1180	5682440.03	7428258.40
1-1096	5681853.81	7428418.88
1-1097	5681845.40	7428440.13
1-1132	5682308.10	7427966.84
1-1078	5682060.50	7427855.99
1-1127	5682319.03	7427951.82
O-3082	5682326.89	7427941.03
O-2977	5682065.44	7427836.82
1-1081	5682053.46	7427883.30
1-1082	5682038.24	7427930.42
1-1137	5682267.88	7428022.10
1-1140	5682260.27	7428032.57
1-1142	5682219.23	7428099.15
1-327	5682100.87	7428053.40
1-1143	5682214.32	7428095.70
1-326	5682041.62	7428205.52
1-1186	5682236.97	7428115.75
1-1183	5682298.68	7428158.99
1-1087	5681947.25	7428180.46
1-1178	5682510.07	7428307.96
1-1175	5682609.96	7428354.12
1-1174	5682610.23	7428354.50
1-1171	5682623.26	7428503.33
1-1170	5682626.31	7428502.81
1-1086	5682005.55	7428025.18
1-1189	5682099.58	7428057.19
1-971	5681517.95	7427741.65
1-972	5681521.66	7427735.69
1-1100	5681798.53	7428590.22
1-1269	5681863.34	7428581.27
1-1099	5681801.35	7428563.59
1-1298	5681535.86	7428554.63
1-1271	5681538.68	7428553.62
O-3856	5681439.77	7428579.25
O-3842	5681430.23	7428566.15
O-5310	5682468.29	7429950.59
1-1442	5682479.10	7429906.82
1-1444	5682466.74	7429890.78
1-1446	5682453.79	7429871.74
1-1447	5682451.30	7429867.39
1-1448	5682445.59	7429853.67
1-20001	5682502.72	7429944.25
1-1440	5682497.78	7429931.98
1-1441	5682487.73	7429918.02
1-1475	5682260.89	7429481.30
O-4904	5681465.49	7429611.83
1-1722	5681902.95	7428814.09
1-1713	5682181.73	7428983.79
1-1388	5682073.99	7429134.61
1-1706	5682400.93	7429116.55
1-1389	5682092.38	7429159.56
1-1705	5682415.50	7429125.30
1-1393	5682141.90	7429226.74
1-1394	5682165.90	7429259.28
1-1702	5682528.73	7429193.31
1-10007	5682544.00	7429260.15
1-1700	5682589.95	7429233.20
1-1701	5682578.51	7429225.71
1-1994	5682244.22	7429285.01
1-1374	5681859.41	7428852.59
1-1720	5681944.83	7428837.14
1-1335	5681889.91	7428804.94
1-1414	5682323.59	7429585.47
1-1724	5681863.34	7428809.77
1-1521	5681491.58	7428816.54
1-546	5681615.58	7428749.62
O-4002	5681569.30	7428757.78
1-1725	5681402.08	7428842.43
1-1520	5681463.73	7428831.57
1-1519	5681420.30	7428849.70
1-1511	5681643.16	7428744.75
1-1104	5681741.81	7428681.15
1-1509	5681782.99	7428763.16
1-1513	5681495.06	7428825.82
1-1505	5681817.59	7428818.08
1-1506	5681804.53	7428800.30
1-1507	5681797.09	7428790.17
1-1515	5681423.52	7428859.19
O-4174	5681358.92	7428875.73
1-1499	5681900.64	7428928.96
1-865	5681096.47	7427856.74
1-859	5681197.02	7427667.77
1-10033	5681197.64	7427626.64
1-874	5681193.88	7427705.17
1-873	5681192.09	7427783.53
1-868	5681092.50	7427857.26
O-3033	5681013.68	7427899.80
1-10034	5681094.67	7427900.93
1-10035	5681098.32	7427900.83
O-5230	5684129.93	7429900.81
1-1227	5681150.82	7428269.52
1-945	5681447.36	7428174.59
1-944	5681442.89	7428201.41
1-2182	5682576.92	7429466.37
1-2148	5682572.19	7429436.74
1-2074	5682830.10	7429388.72
1-2140	5682570.29	7429424.79
1-1405	5682271.62	7429479.35
O-4945	5681474.49	7429672.06
O-4941	5681473.61	7429666.13
1-1470	5682286.77	7429533.61
O-4962	5681476.74	7429687.10
1-10045	5682618.49	7429246.95
1-1987	5682876.17	7429200.38
1-1629	5683207.31	7429230.86
1-2003	5682879.26	7429220.84
1-1627	5683203.10	7429245.33
1-1551	5683221.92	7429193.15
1-1546	5683232.04	7429160.72
1-1539	5683236.25	7429107.42
1-1532	5683272.04	7428968.20
1-1531	5683272.07	7428966.67
1-1529	5683277.18	7428918.29
1-1528	5683282.78	7428898.98
1-20	5683292.00	7428859.99
1-1526	5683320.87	7428768.55
1-1524	5683328.90	7428723.15
O-3965	5683331.74	7428699.13
1-1644	5683235.59	7429127.44
1-1639	5683228.45	7429160.38
1-1558	5683205.45	7429245.55
1-1557	5683208.10	7429237.09
1-1555	5683211.93	7429224.91
1-1552	5683218.00	7429205.61
1-2043	5683637.29	7429305.56
1-1937	5683755.58	7429322.89
1-1938	5683753.02	7429316.50
1-1942	5683746.04	7429299.07
1-2030	5683206.07	7429245.60
1-2010	5683212.95	7429225.01
1-1812	5683739.20	7429160.28
O-4557	5684081.82	7429264.65
1-2028	5683751.48	7429241.53
1-1823	5683741.53	7429240.63
O-4607	5684086.91	7429312.50
1-1828	5683748.95	7429280.71
O-4619	5684088.32	7429325.73
O-4612	5684087.52	7429318.27
1-1831	5683747.64	7429299.22
1-2100	5683761.79	7429317.33
O-4646	5684090.54	7429346.63
1-2105	5683762.64	7429323.57
1-1436	5682474.82	7429887.37
1-1437	5682478.83	7429892.90
1-2563	5682477.96	7429847.78
1-2564	5682465.67	7429850.02
1-1430	5682453.54	7429849.18
1-2457	5682607.44	7429803.53
1-1429	5682445.79	7429832.74
1-1431	5682454.86	7429851.98
1-2561	5682509.00	7429842.14
O-5294	5682523.40	7429940.54
1-2560	5682522.37	7429839.71
1-2559	5682533.06	7429837.76
1-2132	5682568.30	7429412.35
1-2133	5682309.26	7429460.20
1-1404	5682265.99	7429468.20
1-2690	5681540.34	7427814.95
1-979	5681543.92	7427772.08
1-2691	5681540.22	7427826.32
1-2693	5681540.10	7427837.70
1-2710	5681539.97	7427849.93
1-985	5681535.05	7427869.56
1-2711	5681539.77	7427867.98
1-2747	5681533.47	7427923.23
1-2713	5681539.39	7427903.81
1-2746	5681533.45	7427924.03
1-2745	5681539.16	7427942.43
1-2716	5681544.32	7427955.30
O-2947	5681947.91	7427804.04
O-2935	5681881.66	7427788.21
1-2752	5681529.40	7427907.19
1-1048	5681530.04	7427906.97
1-2750	5681530.02	7427889.51
1-1050	5681531.32	7427870.78
1-1051	5681531.98	7427852.58
1-2695	5681529.90	7427853.30
1-886	5681505.11	7427861.70
1-1052	5681532.43	7427839.87
1-1053	5681532.85	7427828.09
1-1054	5681533.28	7427816.32
1-1068	5681531.71	7427798.84
1-1056	5681538.04	7427788.53
1-1057	5681540.85	7427772.13
1-2688	5681535.10	7427772.36
1-15	5681532.11	7427772.42
1-880	5681518.81	7427772.85
1-1059	5681546.67	7427738.14
1-1	5681532.74	7427736.72	56
1-878	5681526.76	7427736.16
1-879	5681523.25	7427741.75
1-2682	5681551.89	7427724.16
1-2683	5681545.30	7427723.18
1-2684	5681535.01	7427721.44
1-2679	5681560.42	7427701.31
1-890	5681492.97	7427937.00
1-51	5681529.43	7427924.60
1-2754	5681532.57	7427944.65
1-2758	5681547.84	7428003.81
1-894	5681476.79	7428026.39
1-895	5681474.22	7428040.57
1-2760	5681553.57	7428022.13
1-1042	5681559.35	7428020.31
1-896	5681472.97	7428047.49
1-2761	5681557.89	7428034.20
1-1041	5681563.17	7428032.53
1-897	5681470.40	7428061.72
1-1040	5681564.82	7428037.79
1-898	5681469.24	7428068.09
1-2763	5681563.25	7428049.20
1-1039	5681567.92	7428047.72
1-2764	5681579.89	7428095.68
1-900	5681462.43	7428105.71
1-2765	5681583.89	7428106.87
1-1037	5681587.06	7428105.87
1-902	5681455.64	7428147.24
1-903	5681452.90	7428164.02
1-2767	5681591.60	7428128.41
1-904	5681451.39	7428173.30
1-1034	5681604.91	7428150.55
1-905	5681447.00	7428200.12
1-2769	5681604.37	7428162.96
1-1033	5681609.25	7428161.42
1-1220	5681584.85	7428180.82
1-1219	5681580.68	7428170.38
1-2770	5681608.49	7428173.38
1-1032	5681613.41	7428171.83
1-2772	5681617.03	7428194.96
1-1030	5681622.02	7428193.38
1-910	5681440.70	7428250.46
1-909	5681438.94	7428249.44
1-2775	5681628.46	7428223.89
1-913	5681477.26	7428271.62
1-2776	5681644.37	7428259.35
1-2777	5681660.45	7428295.17
1-2708	5681689.72	7428364.83
1-2707	5681702.64	7428398.31
1-1022	5681704.22	7428397.85
1-2706	5681708.12	7428412.52
1-1021	5681710.25	7428411.90
1-921	5681518.70	7428472.04
1-1266	5681696.85	7428416.12
1-1020	5681716.28	7428425.97
1-922	5681518.73	7428488.77
1-1267	5681699.81	7428431.24
1-2704	5681716.10	7428444.18
1-10052	5681543.76	7428527.30
1-2741	5681730.38	7428470.25
1-563	5681724.99	7428471.65
1-2740	5681727.99	7428454.89
1-562	5681722.98	7428456.33
1-557	5681720.76	7428424.54
1-556	5681715.26	7428410.32
1-2738	5681717.69	7428409.55
1-2737	5681712.21	7428395.29
1-2736	5681706.72	7428381.04
1-1107	5681891.10	7428299.92
1-2735	5681699.29	7428361.75
1-1009	5681695.14	7428363.11
1-1008	5681686.85	7428344.40
1-2734	5681691.41	7428342.95
1-2743	5681666.40	7428293.31
1-2732	5681654.03	7428256.12
1-696	5681637.48	7428221.04
1-701	5681631.68	7428206.55
1-2726	5681618.18	7428170.32
1-2725	5681614.04	7428159.91
1-1001	5681613.06	7428160.21
1-2724	5681609.71	7428149.04
1-1117	5682001.93	7427999.19
1-2723	5681601.21	7428125.36
1-1118	5682005.50	7427989.43
1-2722	5681598.55	7428117.93
1-998	5681596.44	7428118.60
1-1119	5682012.46	7427970.39
1-2721	5681593.48	7428103.82
1-997	5681590.87	7428104.66
1-2720	5681589.47	7428092.64
1-996	5681586.46	7428093.60
1-1123	5682027.09	7427925.97
1-994	5681568.63	7428036.58
1-522	5681563.15	7428019.10
1-528	5681601.65	7428006.89
1-525	5682045.63	7427865.90
1-1126	5682047.50	7427858.55
1-993	5681561.30	7428013.18
1-527	5681605.37	7428019.11
1-524	5682042.32	7427878.85
1-698	5681971.49	7428082.42
1-692	5681958.15	7428118.91
1-612	5681964.86	7428100.57
1-42	5681735.97	7428271.22
1-565	5681763.65	7428444.64
1-564	5681768.40	7428460.36
1-603	5681763.02	7428495.40
1-610	5681809.26	7428503.13
1-611	5681800.88	7428515.46
1-604	5681796.70	7428527.71
1-606	5681793.16	7428547.46
1-609	5681789.99	7428526.10
1-607	5681774.16	7428522.04
1-599	5681781.50	7428560.37
1-600	5681782.79	7428561.88
1-592	5681729.39	7428557.46
1-572	5681773.09	7428612.77
1-591	5681773.68	7428585.97
1-577	5681761.70	7428643.50
1-578	5681764.66	7428639.86
1-579	5681766.90	7428632.63
1-574	5681753.12	7428637.30
1-570	5681756.19	7428654.09
1-630	5681768.40	7428694.31
1-639	5681807.46	7428686.55
1-642	5681762.44	7428676.07
1-668	5681814.11	7428685.23
1-655	5681811.85	7428673.04
1-661	5681820.94	7428671.26
1-641	5681855.93	7428677.02
1-624	5682048.39	7428642.23
1-623	5682042.85	7428611.32
1-646	5681916.07	7428635.60
1-654	5681912.47	7428666.60
1-643	5681905.25	7428637.57
1-625	5682053.62	7428671.45
1-1314	5682394.93	7428610.17
1-1285	5682578.49	7428515.45
1-648	5681916.36	7428688.25
1-650	5681868.64	7428698.84
1-638	5681813.55	7428714.56
1-1012	5681727.36	7428598.19
1-1014	5681725.57	7428576.66
1-1015	5681724.71	7428533.19
1-1290	5681720.06	7428535.02
1-449	5681749.74	7428659.79
1-10006	5681571.87	7427670.65
1-10017	5681732.82	7428623.47
1-147	5681739.42	7428641.56
1-543	5681747.12	7428662.11
1-10016	5681727.60	7428610.68
1-538	5681833.57	7428753.92
1-647	5681924.61	7428694.61
1-529	5681779.03	7428724.71
1-1325	5681797.60	7428760.49
1-56	5681730.57	7428854.76
1-1503	5681832.02	7428836.45
1-59	5681844.32	7428852.82
1-47	5681783.24	7428868.90
1-737	5681906.60	7428865.17
1-1719	5681971.58	7428853.38
1-1375	5681873.71	7428871.12
1-504	5681864.55	7428960.49
1-503	5681917.92	7428951.14
1-502	5681861.45	7428950.38
1-507	5681920.58	7428954.33
1-2701	5681887.31	7429037.13
O-4397	5681396.64	7429128.05
O-4368	5681393.04	7429102.60
1-613	5682015.23	7428988.14
1-621	5682086.27	7428924.05
1-614	5682010.95	7428964.91
1-617	5682011.57	7428968.28
1-618	5681956.26	7428978.73
1-1983	5682050.12	7429243.43
1-1486	5682128.05	7429229.25
1-1487	5682093.42	7429183.95
1-1977	5682041.40	7429193.41
1-1981	5682030.65	7429195.37
1-1984	5682039.74	7429217.81
1-1489	5682076.78	7429162.36
1-1972	5682038.86	7429182.39
O-4735	5681440.71	7429440.24
1-553	5682171.60	7429299.23
1-552	5682045.87	7429321.83
1-1484	5682160.46	7429276.94
1-1698	5682629.25	7429258.90
1-1697	5682644.99	7429269.18
1-2032	5682546.36	7429273.32
1-1399	5682209.16	7429346.37
1-2040	5682548.07	7429285.63
1-509	5682296.36	7429357.36
1-510	5682466.84	7429326.74
1-508	5682220.43	7429371.00
1-146	5682338.64	7429367.36
1-2095	5682341.74	7429384.50
1-2083	5682717.41	7429316.54
1-1400	5682234.97	7429403.81
1-2102	5682342.49	7429393.29
1-2185	5682577.84	7429472.10
1-1409	5682293.69	7429523.93
1-2186	5682334.16	7429516.55
1-1424	5682406.49	7429753.88
1-2422	5682469.20	7429742.44
1-2428	5682603.71	7429756.55
1-2271	5682945.05	7429695.10
1-2272	5682943.27	7429682.31
1-2423	5682602.71	7429743.99
1-2424	5682475.04	7429767.00
1-2620	5682188.82	7429897.15
1-1449	5682443.01	7429851.09
1-10014	5682441.61	7429849.70
1-2612	5682370.52	7429846.82
1-734	5682293.58	7429851.80
O-5340	5681519.07	7429973.34
1-545	5682290.48	7429833.72
O-5397	5681525.20	7430017.40
1-1465	5682312.94	7429587.41
1-2393	5682224.24	7429580.26
1-2395	5682104.33	7429625.20
1-2394	5682095.62	7429603.59
O-4938	5681473.02	7429662.18
1-1474	5682266.41	7429492.36
1-707	5682119.90	7429518.77
1-2177	5682146.52	7429436.71
1-1480	5682231.02	7429421.42
1-1481	5682223.30	7429405.95
1-2154	5682095.28	7429428.91
O-4834	5681456.63	7429552.48
O-4822	5681455.31	7429543.68
1-2198	5682100.57	7429445.02
O-4806	5681452.93	7429526.79
1-672	5682114.25	7429390.23
1-680	5682077.54	7429396.86
O-4786	5681450.52	7429509.76
1-547	5682184.23	7429324.50
1-678	5682191.48	7429339.49
1-679	5682070.30	7429361.56
1-681	5682072.47	7429372.11
1-2109	5682342.84	7429401.40
1-2269	5682948.37	7429732.92
1-2446	5682606.80	7429794.73
1-736	5682601.97	7429795.62
1-1428	5682442.03	7429824.88
1-2435	5682605.37	7429776.78
1-2270	5682947.86	7429715.13
1-2641	5682022.74	7429930.29
1-2638	5682098.23	7429916.61
1-2633	5682230.02	7429892.73
1-2630	5682294.57	7429881.03
