[x]	[y]	[x]	[y]
5681827.78	7428484.66	5681842.42	7428447.66
5681842.42	7428447.66	5681914.27	7428430.34
5681842.42	7428447.66	5681845.40	7428440.13
5681845.40	7428440.13	5681853.81	7428418.88
5681845.40	7428440.13	5681953.94	7428410.08
5682262.19	7428336.78	5682477.10	7428284.63
5681747.09	7428662.25	5681749.74	7428659.79
5681749.74	7428659.79	5681732.09	7428617.52
5681749.74	7428659.79	5681756.19	7428654.09
5681756.19	7428654.09	5681728.76	7428575.78
5681728.76	7428575.78	5681749.10	7428570.34
5681749.10	7428570.34	5681788.76	7428566.00
5681788.76	7428566.00	5681787.95	7428564.64
5681756.19	7428654.09	5681768.48	7428643.22
5681768.48	7428643.22	5681788.76	7428566.00
5681788.76	7428566.00	5681815.92	7428486.63
5681728.76	7428575.78	5681729.30	7428557.60
5681729.30	7428557.60	5681726.58	7428501.45
5681761.70	7428643.50	5681764.66	7428639.86
5681764.66	7428639.86	5681773.09	7428612.77
5681773.09	7428612.77	5681779.39	7428592.56
5681779.39	7428592.56	5681779.29	7428590.22
5681779.29	7428590.22	5681778.73	7428588.82
5681778.73	7428588.82	5681775.22	7428586.09
5681775.22	7428586.09	5681773.68	7428585.97
5681773.68	7428585.97	5681756.06	7428588.30
5681756.06	7428588.30	5681752.55	7428588.80
5681752.55	7428588.80	5681747.13	7428593.09
5681747.13	7428593.09	5681744.93	7428597.53
5681744.93	7428597.53	5681744.50	7428604.01
5681744.50	7428604.01	5681773.09	7428612.77
5681744.50	7428604.01	5681744.42	7428605.12
5681744.42	7428605.12	5681745.96	7428610.37
5681745.96	7428610.37	5681751.57	7428631.50
5681751.57	7428631.50	5681753.12	7428637.30
5681753.12	7428637.30	5681755.02	7428644.12
5681755.02	7428644.12	5681759.22	7428644.76
5681759.22	7428644.76	5681761.70	7428643.50
5681726.58	7428501.45	5681733.20	7428500.35
5681733.20	7428500.35	5681734.24	7428500.17
5681734.24	7428500.17	5681736.98	7428560.50
5681734.24	7428500.17	5681763.02	7428495.40
5681763.02	7428495.40	5681771.52	7428493.99
