5683325.33	7429789.82	1-2523	0.00	5683418.93	7429798.38	1-2524	0.00
5683418.93	7429798.38	1-2524	0.00	5683444.13	7429800.68	1-2525	0.00
5683444.13	7429800.68	1-2525	0.00	5683508.16	7429806.53	1-2526	0.00
5683508.16	7429806.53	1-2526	0.00	5683601.17	7429815.03	1-2527	0.00
5683601.17	7429815.03	1-2527	0.00	5683646.60	7429819.18	1-2480	0.00
5683646.60	7429819.18	1-2480	0.00	5683637.71	7429837.17	1-2479	0.00
5683653.01	7429808.30	1-2481	0.00	5683665.02	7429794.05	1-2482	0.00
5683665.02	7429794.05	1-2482	0.00	5683669.72	7429786.92	1-2439	0.00
5683669.72	7429786.92	1-2439	0.00	5683675.85	7429777.63	1-2438	0.00
5683669.72	7429786.92	1-2439	0.00	5683629.91	7429783.32	1-2440	0.00
5683629.91	7429783.32	1-2440	0.00	5683629.25	7429790.78	1-2569	0.00
5683629.25	7429790.78	1-2569	0.00	5683665.02	7429794.05	1-2482	0.00
5683629.25	7429790.78	1-2569	0.00	5683605.36	7429788.67	1-2570	0.00
5683605.36	7429788.67	1-2570	0.00	5683603.13	7429803.17	1-2581	0.00
5683603.13	7429803.17	1-2581	0.00	5683601.17	7429815.03	1-2527	0.00
5683605.36	7429788.67	1-2570	0.00	5683512.34	7429780.27	1-2571	0.00
5683512.34	7429780.27	1-2571	0.00	5683509.71	7429796.82	1-2578	0.00
5683509.71	7429796.82	1-2578	0.00	5683508.16	7429806.53	1-2526	0.00
5683444.13	7429800.68	1-2525	0.00	5683445.64	7429790.99	1-2577	0.00
5683445.64	7429790.99	1-2577	0.00	5683509.71	7429796.82	1-2578	0.00
5683445.64	7429790.99	1-2577	0.00	5683448.21	7429774.48	1-2572	0.00
5683448.21	7429774.48	1-2572	0.00	5683512.34	7429780.27	1-2571	0.00
5683418.93	7429798.38	1-2524	0.00	5683420.68	7429784.83	1-2575	0.00
5683420.68	7429784.83	1-2575	0.00	5683422.31	7429772.14	1-2573	0.00
5683422.31	7429772.14	1-2573	0.00	5683448.21	7429774.48	1-2572	0.00
5683327.42	7429776.69	1-2520	0.00	5683420.68	7429784.83	1-2575	0.00
5683422.31	7429772.14	1-2573	0.00	5683393.08	7429769.50	1-2517	0.00
5683393.08	7429769.50	1-2517	0.00	5683329.49	7429763.76	1-2518	0.00
5683329.49	7429763.76	1-2518	0.00	5683327.42	7429776.69	1-2520	0.00
5683393.08	7429769.50	1-2517	0.00	5683393.45	7429762.17	1-2441	0.00
5683388.62	7429757.85	1-2442	0.00	5683281.06	7429748.12	1-2443	0.00
5683281.06	7429748.12	1-2443	0.00	5683281.22	7429752.12	1-2506	0.00
5683279.20	7429751.94	1-2444	0.00	5683279.33	7429759.33	1-2453	0.10
5683279.33	7429759.33	1-2453	0.10	5683329.49	7429763.76	1-2518	0.00
5683281.22	7429752.12	1-2506	0.00	5683393.45	7429762.17	1-2441	0.00
5683393.45	7429762.17	1-2441	0.00	5683629.91	7429783.32	1-2440	0.00
5683279.33	7429759.33	1-2453	0.10	5683223.32	7429754.17	1-2454	0.00
5683223.32	7429754.17	1-2454	0.00	5683221.19	7429767.19	1-2464	0.00
5683221.19	7429767.19	1-2464	0.00	5683219.07	7429780.11	1-2522	0.00
5683223.32	7429754.17	1-2454	0.00	5683124.33	7429745.23	1-2455	0.00
5683124.33	7429745.23	1-2455	0.00	5683122.27	7429758.07	1-2459	0.00
5683122.27	7429758.07	1-2459	0.00	5683120.18	7429771.07	1-2519	0.00
5683124.33	7429745.23	1-2455	0.00	5683075.03	7429740.78	1-2456	0.00
5683075.03	7429740.78	1-2456	0.00	5683073.34	7429752.78	1-2458	0.00
5683073.34	7429752.78	1-2458	0.00	5683073.18	7429753.65	1-2460	0.10
5683073.18	7429753.65	1-2460	0.10	5683071.39	7429766.61	1-2465	0.00
5683073.18	7429753.65	1-2460	0.10	5683122.27	7429758.07	1-2459	0.00
5683073.34	7429752.78	1-2458	0.00	5683019.23	7429747.86	1-2451	0.00
5683075.03	7429740.78	1-2456	0.00	5683060.30	7429739.45	1-2448	0.00
5683060.30	7429739.45	1-2448	0.00	5683060.94	7429732.39	1-2445	0.00
