[numer]	[x]	[y]
19-309	5685003.30	7424125.55
19-347	5685101.24	7423928.69
19-346	5685119.70	7423935.41
19-1592	5685130.13	7423906.73
19-357	5685114.97	7423905.09
19-358	5685108.21	7423909.46
19-348	5685110.89	7423959.65
19-351	5685083.67	7423977.19
19-353	5685074.89	7424001.44
19-352	5685093.27	7424008.12
19-360	5685099.84	7423903.44
19-359	5685103.11	7423908.90
19-18	5685078.26	7423977.14
19-319	5685062.00	7424021.79
19-296	5685057.34	7424049.83
19-295	5685075.68	7424056.50
19-298	5685066.89	7424080.65
19-301	5685031.04	7424122.41
19-302	5685049.29	7424129.05
19-305	5685012.40	7424173.86
19-1703	5685032.43	7424175.42
19-318	5685053.92	7424043.97
19-315	5685045.87	7424066.07
19-314	5685037.83	7424088.16
19-311	5685029.78	7424110.25
19-306	5685006.78	7424173.43
19-1112	5685169.38	7423961.81
19-1111	5685186.24	7423914.73
19-1707	5685091.24	7424180.03
19-1113	5685192.65	7423969.76
19-1114	5685211.89	7423916.40
19-1127	5685555.78	7423914.56
19-1147	5685593.63	7423898.80
19-1146	5685565.94	7423879.78
19-1130	5685611.38	7423940.23
19-1340	5685622.88	7423915.72
19-1165	5685152.44	7424101.26
19-1064	5685185.15	7424083.89
19-1016	5685193.51	7424060.44
19-1013	5685203.58	7424032.18
19-1125	5685572.35	7423945.41
19-763	5685136.09	7424220.46
19-1782	5685151.48	7424218.11
19-1859	5685163.00	7424215.78
19-1844	5685139.05	7424212.39
19-1783	5685160.78	7424223.22
19-1097	5685140.87	7424207.47
19-1074	5685161.87	7424149.18
19-761	5685123.72	7424181.27
19-760	5685110.11	7424218.35
19-1775	5685039.37	7424211.33
19-1732	5685084.64	7424216.04
19-1772	5684959.29	7424214.56
19-1770	5684933.53	7424202.63
19-797	5685287.06	7423963.30
19-798	5685295.57	7423939.80
19-796	5685278.53	7423986.82
19-792	5685242.45	7424000.15
19-782	5685238.33	7424011.70
19-793	5685237.23	7424027.57
19-788	5685233.67	7424110.51
19-1121	5685274.70	7424012.03
19-1119	5685265.32	7424037.90
19-781	5685231.39	7424130.23
19-1065	5685196.48	7424107.53
19-1092	5685202.79	7424107.77
19-1007	5685225.03	7424108.61
19-1063	5685225.90	7424085.40
19-1089	5685227.56	7424041.38
19-1012	5685227.85	7424033.93
19-1005	5685227.24	7423959.11
19-1069	5685221.69	7424137.66
19-1073	5685185.97	7424144.54
19-1094	5685189.30	7424143.90
19-1072	5685186.75	7424150.72
19-1070	5685222.14	7424145.34
19-1075	5685225.17	7424148.06
19-1095	5685227.08	7424142.48
19-1068	5685227.42	7424150.05
19-1151	5685663.67	7423774.56
19-2179	5685755.78	7423526.08
19-228	5685756.33	7423516.62
19-2177	5685752.89	7423525.88
19-1158	5685658.09	7423810.56
19-1152	5685669.79	7423778.44
19-2180	5685763.26	7423526.60
19-243	5685766.13	7423518.86
19-60	5685346.47	7424010.93
19-1588	5685391.98	7423888.48
19-1589	5685358.69	7423895.74
19-780	5685312.70	7423907.24
19-1691	5685256.71	7424201.51
19-59	5685353.72	7424013.63
19-342	5685340.49	7424049.16
19-1687	5685272.04	7424218.18
19-1189	5685276.31	7424221.56
19-848	5685401.80	7423956.90
19-847	5685411.40	7423931.66
19-846	5685421.00	7423906.43
19-341	5685405.99	7423887.64
19-345	5685382.87	7423949.72
19-849	5685392.21	7423982.14
19-344	5685364.02	7424000.32
19-343	5685345.17	7424050.93
19-1188	5685401.05	7423886.50
19-843	5685431.07	7423879.94
19-394	5685531.87	7423893.92
19-393	5685505.76	7423885.09
19-401	5685502.03	7423904.44
19-400	5685503.36	7423901.65
19-547	5685526.88	7423905.42
19-926	5685520.91	7423980.79
19-918	5685483.88	7423958.63
19-1138	5685469.69	7424117.50
19-925	5685494.57	7423928.82
19-1706	5685490.63	7423926.39
19-1134	5685487.24	7423935.74
19-774	5685476.30	7423899.97
