[numer]	[x]	[y]
19-109	5685010.58	7424005.03
19-1270	5684979.21	7424003.19
19-1272	5684969.18	7424031.36
19-1273	5684997.47	7424041.51
19-1701	5684992.87	7424054.30
19-1276	5684949.02	7424087.95
19-108	5684946.18	7424168.20
19-1282	5684926.12	7424140.31
19-313	5685019.42	7424081.46
19-316	5685027.50	7424059.37
19-20	5685051.80	7423992.91
19-16	5685068.21	7423948.00
19-15	5685076.39	7423925.63
19-1699	5684986.38	7424171.84
19-308	5684995.25	7424147.56
19-349	5685092.46	7423952.95
19-350	5685102.08	7423983.88
19-355	5685066.10	7424025.67
19-354	5685084.46	7424032.35
19-14	5685094.63	7423932.18
19-17	5685086.44	7423954.66
19-21	5685070.07	7423999.62
19-356	5685061.23	7424023.90
19-297	5685048.59	7424074.00
19-300	5685039.83	7424098.16
19-299	5685058.11	7424104.81
19-304	5685022.24	7424146.72
19-303	5685040.46	7424153.35
19-310	5685021.76	7424132.27
19-307	5685013.74	7424154.29
19-50	5685092.72	7424175.94
19-1708	5685051.52	7424176.79
19-1129	5685582.11	7423924.30
19-1128	5685594.45	7423930.80
19-1148	5685605.68	7423906.40
19-1150	5685618.71	7423913.41
19-1066	5685176.98	7424106.79
19-758	5685205.68	7424025.26
19-759	5685181.17	7424016.56
19-1124	5685585.56	7423950.18
19-1085	5685162.78	7424216.39
19-762	5685148.85	7424185.69
19-1166	5685117.66	7424198.32
19-1694	5684906.82	7424193.37
19-1776	5685072.00	7424211.01
19-1733	5685096.70	7424180.47
19-1773	5685019.44	7424211.64
19-1774	5685001.81	7424216.59
19-790	5685259.74	7423953.23
19-789	5685268.37	7423929.77
19-791	5685251.09	7423976.69
19-795	5685270.00	7424010.32
19-794	5685260.62	7424036.19
19-1122	5685283.23	7423988.53
19-1091	5685211.34	7424084.86
19-1090	5685219.88	7424062.00
19-1015	5685226.78	7424062.40
19-1006	5685228.10	7424027.43
19-1093	5685197.20	7424122.74
19-1071	5685198.13	7424142.20
19-1067	5685226.46	7424133.58
19-1083	5685172.11	7424190.02
19-1080	5685195.67	7424211.17
19-242	5685759.06	7423517.24
19-2178	5685644.77	7423816.92
19-1154	5685647.83	7423817.92
19-1153	5685654.56	7423820.15
19-1688	5685270.17	7424216.15
19-62	5685390.40	7423892.77
19-1590	5685319.41	7423903.30
19-1693	5685230.72	7424138.31
19-1692	5685241.65	7424176.90
19-61	5685399.46	7423890.83
19-1187	5685313.03	7424122.89
19-845	5685430.15	7423882.36
19-850	5685382.61	7424007.37
19-340	5685400.18	7423888.91
19-397	5685521.35	7423900.71
19-395	5685527.01	7423905.11
19-709	5685497.45	7423907.63
19-402	5685499.72	7423907.46
19-398	5685505.95	7423895.50
19-894	5685468.08	7423988.48
19-927	5685511.80	7424005.12
19-842	5685476.26	7423965.97
19-942	5685465.04	7424115.67
19-941	5685471.45	7424112.83
19-772	5685479.35	7423957.46
19-1136	5685466.00	7423927.92
19-1137	5685454.37	7423892.00
19-1133	5685477.84	7423958.92
19-775	5685425.56	7423970.20
19-773	5685457.01	7423979.19
19-555	5685531.10	7423970.69
19-543	5685603.00	7423962.74
19-661	5685580.53	7424023.16
19-1079	5685486.48	7424089.80
19-1425	5685550.52	7424103.86
19-970	5685371.37	7424254.51
19-972	5685369.49	7424259.11
19-554	5685514.17	7423862.14
19-690	5685438.50	7423872.21
19-1505	5685432.78	7423876.50
19-1508	5685464.62	7423865.08
19-2153	5685503.59	7423766.57
19-1586	5685473.37	7423865.59
19-269	5685620.73	7423492.51
19-270	5685582.34	7423499.98
19-2152	5685522.50	7423773.58
19-1000	5685517.08	7423856.14
19-1524	5685493.79	7423857.34
19-224	5685773.86	7423520.44
19-244	5685771.92	7423520.18
19-1155	5685659.96	7423821.98
19-498	5685688.45	7423505.23
19-548	5685579.85	7423794.83
19-910	5685568.53	7423837.03
19-911	5685557.07	7423865.79
19-999	5685542.29	7423860.60
19-998	5685566.07	7423829.76
19-2271	5685743.71	7423513.73
19-2175	5685730.95	7423524.37
19-2176	5685625.62	7423810.51
19-821	5685654.99	7423820.28
19-908	5685582.08	7423882.08
19-46	5685598.90	7423895.29
19-1169	5685596.87	7423891.79
19-1168	5685582.34	7423881.37
19-2184	5685680.31	7423828.83
19-1240	5685633.11	7423904.94
19-1239	5685629.29	7423904.15
19-1916	5685629.11	7423904.52
19-629	5686190.59	7424184.91
19-634	5686120.78	7424164.71
19-631	5686200.71	7424163.78
19-612	5686405.80	7424280.25
19-336	5686278.90	7424233.58
19-337	5686255.24	7424234.69
19-2465	5686057.37	7424418.48
19-2463	5686008.11	7424405.65
19-294	5686013.71	7424411.18
19-293	5686057.20	7424421.98
19-658	5685911.79	7424418.03
19-656	5685871.37	7424349.13
19-1110	5685931.63	7424427.89
19-2457	5685831.90	7424388.20
19-1324	5685864.35	7424400.83
19-2470	5685774.95	7424367.54
19-1175	5685938.16	7424373.34
19-1177	5686011.07	7424376.76
19-1077	5685825.74	7424576.52
19-675	5685532.91	7424471.29
19-677	5685892.69	7424626.23
19-676	5685954.89	7424650.40
19-1328	5685939.70	7424618.60
19-669	5685855.39	7424633.64
19-670	5685860.47	7424619.63
19-673	5685794.15	7424623.61
19-1184	5685793.12	7424595.54
19-1181	5685743.18	7424605.16
19-1178	5685738.48	7424603.45
19-1283	5685699.04	7424561.88
19-405	5685625.12	7424558.54
19-518	5685866.34	7424699.77
19-514	5685934.32	7424724.76
19-517	5685938.29	7424678.17
19-519	5685877.52	7424656.13
19-529	5685839.62	7424646.44
19-525	5685761.38	7424618.11
19-526	5685689.23	7424632.33
19-365	5685693.66	7424634.46
19-528	5685739.55	7424609.29
19-574	5685825.91	7424736.32
19-799	5685840.73	7424781.00
19-808	5685918.83	7424770.92
19-800	5685845.23	7424743.49
19-1878	5685977.88	7424820.16
O-299	5685998.79	7424824.25
19-2314	5685914.22	7424807.68
19-1881	5685947.39	7424850.59
19-2467	5685940.60	7424828.81
19-2315	5685912.65	7424817.20
19-1920	5685912.01	7424821.08
19-7	5685999.69	7424832.50
19-1451	5685924.16	7424858.29
19-2317	5685929.79	7424875.32
19-1895	5685991.07	7424866.40
19-1866	5685633.11	7424711.30
19-764	5685592.64	7424696.73
19-766	5685887.48	7424823.54
19-8	5685771.39	7424765.80
19-369	5685786.95	7424782.37
19-409	5685788.89	7424782.77
19-1835	5685791.77	7424783.36
19-1837	5685775.70	7424766.65
19-718	5685519.89	7424634.86
19-700	5685485.58	7424623.08
19-715	5685474.70	7424623.57
19-723	5685562.35	7424649.44
19-765	5685603.97	7424663.73
19-9	5685731.15	7424707.40
19-649	5685908.43	7424862.44
19-729	5685909.69	7424875.93
19-1896	5685881.19	7424877.22
19-540	5685850.06	7424879.05
19-333	5685708.41	7424847.69
19-1872	5685875.01	7424846.64
19-332	5685708.53	7424842.69
19-334	5685707.46	7424887.91
O-335	5685994.84	7424947.53
O-320	5686007.94	7424900.05
O-315	5686009.15	7424890.92
O-313	5686004.90	7424882.72
O-7218	5686000.94	7424872.62
19-1949	5685975.51	7424943.73
19-1958	5685940.50	7424938.46
19-1955	5685945.70	7424943.93
O-333	5685975.57	7424946.15
O-336	5685939.12	7424947.39
19-1960	5685912.06	7424943.89
19-1951	5685933.95	7424941.49
19-2324	5685934.13	7424921.76
19-722	5685901.17	7424919.68
19-721	5685901.89	7424924.30
19-720	5685902.59	7424928.77
19-1952	5685904.71	7424943.61
19-1961	5685905.95	7424943.58
19-724	5685892.01	7424930.74
19-1953	5685819.61	7424950.44
O-358	5685656.82	7424981.40
O-366	5685567.12	7425000.21
O-374	5685508.72	7425012.60
19-1941	5685506.62	7425002.35
O-7197	5685470.51	7425020.42
O-7198	5685503.83	7425013.62
19-1942	5685468.27	7425009.48
O-7195	5685434.26	7425027.80
O-7196	5685395.06	7425035.78
19-1946	5685392.55	7425023.56
O-394	5685315.10	7425052.04
19-725	5685891.08	7424926.14
19-710	5685817.09	7424938.72
19-707	5685730.71	7424953.41
19-726	5685890.13	7424921.43
19-704	5685778.81	7424939.04
19-703	5685729.37	7424946.87
19-702	5685684.88	7424953.90
19-693	5685652.28	7424959.06
19-692	5685561.63	7424973.47
19-1917	5685464.04	7424988.90
19-1931	5685427.45	7424994.68
19-1938	5685387.90	7425000.93
19-2245	5684813.03	7423754.73
19-2264	5684796.53	7423747.48
19-2265	5684794.15	7423746.44
19-2266	5684777.07	7423763.16
19-2269	5684844.70	7423768.14
19-1319	5684949.45	7423879.55
19-530	5684968.98	7423882.43
19-531	5684986.77	7423840.01
19-1318	5684964.57	7423837.69
19-1323	5684946.59	7423833.04
19-1322	5684944.89	7423837.06
19-1321	5684938.82	7423846.24
19-538	5684916.29	7423820.97
19-539	5684942.08	7423826.95
19-103	5684970.61	7423763.47
19-271	5684953.17	7423756.84
19-252	5684942.01	7423750.05
19-576	5684878.43	7423869.98
19-544	5684948.40	7423828.41
19-90	5685147.98	7423842.89
19-91	5685134.43	7423831.20
19-650	5685109.22	7423899.45
19-92	5685119.39	7423817.54
19-93	5685116.23	7423815.73
19-1843	5685110.77	7423830.85
19-648	5685086.84	7423897.02
19-1561	5685172.72	7423906.44
19-212	5685190.85	7423852.42
19-1636	5684625.87	7424103.34
19-1551	5684671.92	7423974.95
19-667	5685579.76	7424519.20
19-367	5685626.70	7424565.16
19-366	5685638.40	7424575.84
19-1339	5685629.94	7424566.33
19-378	5685594.69	7424538.06
19-377	5685601.41	7424543.44
19-376	5685605.72	7424546.95
19-375	5685611.49	7424551.89
19-12	5685597.05	7424537.54
19-1845	5685588.74	7424531.78
19-380	5685576.10	7424520.90
19-1373	5685620.47	7424563.03
19-1337	5685511.95	7424526.12
19-65	5685626.18	7424564.97
19-504	5684788.64	7424041.58
19-599	5684792.59	7424032.72
19-608	5684795.62	7423975.79
19-598	5684791.20	7424009.98
19-609	5684811.46	7423945.69
19-610	5684821.63	7423926.39
19-86	5684875.91	7423874.74
19-860	5685362.47	7424125.94
19-854	5685344.24	7424108.28
19-867	5685375.29	7424091.23
19-853	5685353.82	7424083.08
19-851	5685373.02	7424032.61
19-865	5685394.01	7424040.59
19-864	5685403.35	7424015.27
19-863	5685412.71	7423989.96
19-862	5685422.07	7423964.63
19-861	5685431.42	7423939.31
19-857	5685440.78	7423913.98
19-883	5685445.08	7423984.18
19-882	5685442.16	7423982.90
19-989	5685353.30	7424285.33
19-921	5685354.92	7424300.38
19-920	5685385.06	7424343.42
19-984	5685385.07	7424340.26
19-976	5685410.77	7424274.49
19-963	5685384.41	7424222.14
19-962	5685391.95	7424203.61
19-938	5685472.59	7424123.99
19-939	5685506.53	7424019.17
19-936	5685497.76	7424042.58
19-934	5685483.73	7424080.04
19-940	5685467.86	7424122.31
19-955	5685434.66	7424109.71
19-957	5685427.75	7424113.37
19-880	5685424.77	7424107.00
19-881	5685402.92	7424097.37
19-1348	5685438.71	7424105.35
19-1799	5686312.28	7424435.04
19-642	5686058.35	7424151.16
19-630	5686192.18	7424181.58
19-635	5686117.47	7424160.48
19-617	5686058.32	7424153.34
19-72	5686181.95	7424135.49
19-624	5686149.13	7424123.59
19-1522	5686131.36	7424117.06
19-1342	5685499.79	7424450.95
19-1345	5685438.68	7424405.12
19-654	5685592.97	7424306.87
19-1399	5685594.96	7424152.46
19-1388	5685657.21	7423968.55
19-1387	5685667.00	7423932.80
19-1417	5685668.10	7423919.62
19-1908	5685626.38	7423910.49
19-931	5685569.45	7424052.97
19-1423	5685578.99	7424026.84
19-626	5686265.54	7424208.22
19-2462	5686267.68	7424202.61
19-613	5686434.70	7424229.16
19-1735	5686354.49	7424199.00
19-73	5686303.58	7424179.85
19-621	5686279.67	7424171.13
19-1141	5685393.62	7424352.25
19-871	5685422.79	7423977.19
19-1721	5685416.05	7424381.37
19-1723	5685388.91	7424351.66
19-1806	5685351.49	7424309.47
19-1724	5685381.24	7424343.75
19-1807	5685326.08	7424274.77
19-1727	5685319.26	7424259.74
19-1803	5685316.97	7424265.89
19-1793	5685293.45	7424244.18
19-1728	5685317.17	7424257.72
19-1729	5685294.91	7424240.10
19-1787	5685274.46	7424226.63
19-1730	5685275.23	7424224.53
19-411	5685809.14	7424804.70
19-413	5685831.77	7424820.20
19-1839	5685729.37	7424700.44
19-1823	5685702.07	7424652.47
19-814	5685577.09	7423831.58
19-913	5685571.66	7423829.27
19-822	5685593.63	7423836.71
19-823	5685610.04	7423842.14
19-824	5685626.38	7423847.69
19-839	5685611.85	7423900.96
19-831	5685597.54	7423889.99
19-826	5685583.96	7423838.75
19-1009	5685238.57	7424190.16
19-1008	5685228.10	7424162.02
19-1637	5684645.53	7424080.11
19-335	5684701.03	7423976.21
19-427	5684704.43	7423969.46
19-1597	5684699.81	7423973.56
19-1604	5684657.08	7424048.54
19-1629	5684476.35	7424147.79
19-1596	5684707.52	7423966.71
19-1470	5684760.37	7423869.90
19-1621	5684306.78	7424155.60
19-430	5684248.85	7424174.38
19-1613	5684479.47	7424150.04
19-1612	5684481.55	7424149.51
19-1605	5684607.58	7424130.25
O-310	5686000.11	7424870.52
O-308	5686002.96	7424865.62
19-1891	5685971.43	7424899.06
19-433	5685976.65	7424887.15
19-436	5685922.61	7424756.75
19-571	5685923.59	7424757.11
19-2332	5685931.37	7424734.29
19-435	5685921.59	7424762.96
O-365	5685335.25	7424998.40
19-740	5686084.25	7424062.16
19-731	5686153.06	7423858.18
19-445	5686083.30	7424064.32
19-1825	5685811.06	7424798.91
19-466	5685549.66	7423868.48
19-553	5685515.21	7423859.29
19-776	5685487.72	7423865.16
19-469	5685494.16	7423860.03
19-470	5685474.01	7423868.52
19-1084	5685239.41	7423921.14
19-2003	5685239.67	7423918.66
19-477	5685189.33	7423908.08
19-233	5685207.46	7423855.08
19-1570	5685188.22	7423908.04
19-478	5685014.51	7423889.15
19-1529	5685044.99	7423806.16
19-101	5685009.04	7423786.91
19-58	5685006.96	7423791.88
19-481	5684896.01	7423871.67
19-502	5684647.46	7424294.66
19-506	5684772.87	7423958.22
19-503	5684575.60	7424295.20
19-485	5684788.78	7424039.73
19-1096	5685230.97	7424209.27
19-486	5685207.56	7424195.69
19-69	5685231.66	7424090.36
19-1102	5685231.09	7424070.31
19-779	5685274.94	7423911.94
19-895	5685235.39	7424010.45
19-919	5685237.25	7423970.50
19-532	5685435.58	7424401.45
19-1557	5686258.67	7424163.47
19-1849	5685480.94	7424442.88
19-948	5685906.88	7424821.47
19-949	5685954.27	7424651.61
19-952	5685922.59	7423914.36
19-581	5684830.36	7423864.36
19-582	5684849.60	7423831.52
19-584	5684866.75	7423802.23
19-82	5684867.33	7423801.24
19-2249	5684895.27	7423753.55
19-200	5684878.09	7423711.18
19-577	5684875.75	7423869.71
19-589	5684900.98	7423822.11
19-250	5684939.98	7423748.82
19-482	5684876.09	7423869.75
19-562	5684764.41	7423860.90
19-565	5684762.78	7423881.63
19-566	5684774.90	7423879.85
19-559	5684763.17	7423914.83
19-1474	5684760.36	7423837.79
19-1481	5684714.34	7423833.30
19-2476	5684718.65	7423825.89
19-1476	5684756.54	7423818.15
19-1418	5685681.41	7423923.03
19-1445	5685725.87	7423934.09
19-460	5685673.28	7423918.02
19-1448	5685634.71	7423909.32
19-1910	5685627.45	7423908.89
19-1389	5685662.81	7423970.69
19-1391	5685649.36	7424006.73
19-1383	5685698.20	7424025.55
19-1384	5685699.30	7424023.35
19-1676	5685906.64	7424093.69
19-1677	5685879.24	7424064.55
19-1681	5685797.47	7423995.29
19-1382	5685694.92	7424034.74
19-1671	5685940.92	7424131.54
19-1668	5685983.10	7424171.50
19-1378	5685677.99	7424078.75
19-1377	5685670.53	7424097.45
19-1397	5685608.41	7424115.60
19-1376	5685666.36	7424109.00
19-1663	5686050.62	7424244.90
19-1369	5685655.23	7424137.93
19-2340	5686053.76	7424277.49
19-1174	5686027.60	7424336.78
19-2338	5686041.80	7424307.17
19-1173	5686019.20	7424354.73
19-747	5685562.37	7424389.77
19-1086	5685569.70	7424370.51
19-750	5685540.91	7424448.47
19-749	5685971.13	7424601.83
19-738	5686108.43	7424069.38
19-735	5686161.60	7423859.45
19-734	5686157.36	7423858.65
19-733	5686178.07	7423863.15
19-732	5686165.81	7423860.71
19-752	5685891.86	7424506.50
19-2335	5685983.23	7424464.88
19-753	5685883.23	7424531.03
19-745	5685966.50	7424555.57
19-1915	5686004.14	7424423.19
19-2219	5686023.46	7423952.68
19-2220	5686006.39	7423946.18
19-2224	5685987.80	7423939.11
19-2214	5685949.47	7423926.34
19-1461	5685835.18	7423742.03
19-2328	5685929.02	7424888.99
19-1390	5685642.62	7424007.25
19-1394	5685613.85	7424084.19
19-1403	5685555.67	7424239.70
19-1409	5685512.16	7424356.49
19-1411	5685498.36	7424392.96
19-1429	5685400.57	7424319.11
19-1355	5685477.04	7424299.99
19-1351	5685483.79	7424281.96
19-1354	5685491.66	7424261.03
19-1350	5685494.95	7424252.00
19-1331	5685445.48	7424199.24
19-1235	5685475.32	7424119.58
19-1123	5685605.09	7423957.10
19-1126	5685549.41	7423936.77
19-1162	5685537.56	7423911.11
19-879	5685403.15	7424088.13
19-878	5685399.26	7424089.82
19-844	5685436.83	7423878.69
19-1347	5685446.01	7424086.71
19-900	5685442.16	7424059.01
19-891	5685447.50	7424044.34
19-901	5685453.62	7424027.55
19-893	5685461.13	7424006.74
19-1569	5685304.85	7423867.28
19-1571	5685296.33	7423902.98
19-1534	5685393.22	7423885.14
19-1553	5685382.87	7423887.37
19-1574	5685318.77	7423900.37
19-1533	5685050.97	7423893.11
19-97	5685895.68	7423570.80
19-928	5685840.22	7423727.90
19-1315	5685792.45	7423716.76
19-1291	5685824.09	7423701.46
19-1313	5685822.88	7423759.02
19-98	5685894.98	7423570.28
19-99	5685841.53	7423535.45
19-943	5685804.54	7423529.45
19-1295	5685757.63	7423777.24
19-1293	5685775.55	7423761.52
19-1219	5685694.69	7423829.09
19-1298	5685728.35	7423840.33
19-1308	5685816.69	7423793.84
19-1301	5685754.12	7423787.35
19-1306	5685766.84	7423777.87
19-1305	5685803.56	7423830.58
19-1286	5685790.51	7423867.23
19-1242	5685764.28	7423852.40
19-29	5685757.28	7423855.32
19-1236	5685744.49	7423893.18
19-1226	5685719.69	7423927.08
19-1227	5685701.57	7423920.97
19-1224	5685673.67	7423913.70
19-686	5685727.79	7423931.54
19-1221	5685665.72	7423911.81
19-688	5685642.98	7423907.71
19-687	5685654.74	7423909.50
19-1248	5685677.92	7423870.81
19-683	5685668.28	7423856.88
19-1233	5685666.59	7423861.55
19-684	5685653.11	7423851.79
19-1247	5685646.02	7423859.44
O-322	5685365.80	7424917.05
19-173	5685290.48	7423854.38
O-62	5684405.89	7424345.23
O-41	5684243.52	7424286.74
O-43	5684255.27	7424290.98
O-68	5684419.18	7424350.26
O-74	5684441.70	7424358.25
O-78	5684475.41	7424370.58
O-81	5684487.99	7424375.18
O-124	5684727.82	7424462.55
O-126	5684729.51	7424463.16
O-104	5684656.16	7424436.82
O-96	5684604.06	7424417.64
O-202	5685035.55	7424574.97
O-129	5684742.42	7424467.75
O-189	5684998.34	7424561.13
O-171	5684925.85	7424534.17
O-170	5684919.56	7424531.83
O-156	5684851.49	7424506.89
O-160	5684871.71	7424514.14
O-161	5684880.19	7424517.18
O-163	5684887.75	7424519.99
O-147	5684825.23	7424497.47
O-208	5685065.64	7424586.29
O-209	5685065.49	7424586.23
O-88	5684542.31	7424395.29
O-89	5684554.17	7424399.38
O-233	5685158.81	7424621.43
O-228	5685143.67	7424615.72
O-231	5685148.82	7424617.66
O-235	5685166.82	7424624.24
O-236	5685174.82	7424627.05
O-241	5685199.40	7424635.42
O-248	5685276.97	7424661.51
O-246	5685239.25	7424648.82
O-247	5685250.90	7424653.58
O-256	5685335.47	7424681.84
O-249	5685279.58	7424663.24
O-255	5685324.72	7424678.01
O-211	5685069.80	7424587.86
O-212	5685080.81	7424592.01
O-56	5684329.37	7424317.66
O-57	5684354.09	7424326.57
O-59	5684379.09	7424335.58
O-259	5685347.43	7424686.08
O-261	5685358.07	7424689.87
O-271	5685417.31	7424710.99
O-272	5685425.60	7424713.94
O-183	5684971.04	7424550.98
O-174	5684928.72	7424535.24
O-176	5684935.27	7424537.67
19-2243	5684765.46	7423852.20
19-923	5684753.00	7423775.75
19-2263	5684751.91	7423768.12
19-2236	5684751.32	7423764.01
19-236	5684746.22	7423747.61
O-132	5686008.24	7424472.87
O-123	5686015.68	7424460.36
19-1511	5686014.16	7424459.81
19-1333	5686011.74	7424461.42
O-172	5686003.45	7424533.90
O-102	5686103.65	7424433.23
O-125	5686242.50	7424462.84
O-119	5686299.81	7424454.77
19-1914	5686300.53	7424453.63
19-1530	5686427.85	7424362.30
19-1794	5686516.25	7424296.10
19-1760	5686455.53	7424230.11
19-1761	5686451.72	7424234.45
19-614	5686435.39	7424227.95
O-5635	5686402.27	7424387.41
19-1254	5686409.55	7424378.75
O-79	5686415.33	7424373.49
O-70	5686456.26	7424351.61
O-65	5686470.61	7424347.09
O-7216	5686535.06	7424286.09
19-1788	5686522.87	7424290.76
19-1789	5686496.67	7424274.98
19-1581	5686460.96	7424230.63
19-1718	5686518.50	7424279.22
19-1965	5686529.51	7424287.30
19-1935	5686532.99	7424282.59
19-195	5686480.75	7424238.21
19-194	5686467.55	7424221.87
19-1970	5686454.60	7424209.61
19-1969	5686456.71	7424216.20
19-1937	5686451.24	7424093.45
19-1976	5686450.69	7424110.84
19-205	5686449.52	7424073.43
19-2006	5686221.35	7423785.67
19-2010	5686132.07	7423696.57
19-2009	5686135.65	7423697.93
19-145	5686132.69	7423694.80
19-2230	5686121.74	7423726.21
19-144	5686128.33	7423690.19
19-143	5686123.82	7423685.41
19-2226	5686111.67	7423719.88
19-2013	5686117.21	7423690.93
19-2218	5686106.59	7423716.69
19-2015	5686101.02	7423685.66
19-138	5686109.73	7423670.51
19-2018	5686092.79	7423685.42
19-2213	5686036.91	7423672.95
19-2021	5686042.59	7423673.07
19-2020	5686047.40	7423674.75
19-137	5686048.28	7423672.18
19-2019	5686060.57	7423679.37
19-263	5685559.07	7423510.95
19-2026	5685549.19	7423530.71
19-2027	5685545.82	7423540.10
19-2030	5685505.10	7423626.51
19-2040	5685484.90	7423695.97
19-2041	5685486.49	7423699.93
19-2046	5685472.53	7423755.05
19-265	5685525.17	7423583.60
19-266	5685500.64	7423613.29
19-268	5685472.31	7423740.74
19-260	5685468.31	7423753.45
19-2050	5685438.82	7423799.80
19-2047	5685471.27	7423757.95
19-261	5685450.08	7423778.40
19-155	5685437.10	7423792.79
19-2051	5685431.38	7423807.64
19-2052	5685428.87	7423810.28
19-2059	5685392.86	7423839.16
19-2060	5685379.29	7423844.54
19-1545	5685352.46	7423849.25
19-1547	5685332.49	7423853.12
19-2067	5685332.66	7423852.61
19-2069	5685317.86	7423855.44
19-2068	5685331.96	7423852.71
19-172	5685309.20	7423852.50
19-2072	5685301.49	7423857.16
19-174	5685296.71	7423854.46
19-2077	5685069.75	7423800.97
19-2076	5685079.58	7423800.91
19-152	5685083.87	7423797.20
19-2078	5685062.32	7423799.79
19-154	5685050.91	7423800.05
19-2080	5685003.12	7423782.89
19-2082	5684990.29	7423774.10
19-448	5685008.86	7423786.83
19-2002	5684842.22	7423702.67
19-2246	5684825.39	7423732.69
19-238	5684784.09	7423709.27
19-2090	5684782.64	7423710.74
19-2089	5684783.63	7423709.91
19-2107	5684219.83	7424195.91
19-2106	5684202.48	7424208.62
O-33	5684146.39	7424251.74
O-35	5684164.35	7424258.22
O-39	5684226.03	7424280.44
19-161	5685376.13	7423837.00
19-160	5685345.01	7423846.89
19-1734	5686419.29	7423997.36
19-1981	5686412.22	7423970.93
19-1983	5686404.67	7423936.70
19-1984	5686397.94	7423919.89
19-253	5686400.85	7423883.49
19-1985	5686392.13	7423910.04
19-1559	5686382.64	7423877.15
19-1989	5686371.76	7423876.47
19-1939	5686387.15	7423851.84
19-171	5686370.73	7423842.72
19-1991	5686356.38	7423865.74
19-170	5686356.95	7423834.21
19-169	5686352.85	7423833.90
19-272	5686320.88	7423831.50
19-167	5686318.59	7423830.51
19-1997	5686303.04	7423831.37
19-1541	5686295.73	7423820.66
19-2000	5686294.87	7423823.35
19-2482	5686289.73	7423816.58
19-2481	5686292.90	7423819.56
G.1010-9582	5686490.76	7424125.
G.1010-9583	5686482.53	7424051.
G.1010-9618	5686428.07	7423845.
G.1010-9584	5686394.49	7423812.
G.1010-9585	5686371.55	7423799.
G.1010-9587	5686110.83	7423656.
G.1010-9624	5686031.75	7423619.
G.1010-9625	5685741.21	7423475.
G.1010-9626	5685657.40	7423455.
G.1010-9614	5685617.29	7423454.
G.1010-9615	5685437.64	7423641.
G.1010-9629	5685435.14	7423696.
G.1010-9593	5685435.06	7423735.
G.1010-9596	5685286.73	7423806.
G.1010-9631	5685162.04	7423809.
G.1010-9632	5685086.49	7423765.
G.1010-9599	5685063.67	7423764.
G.1010-9601	5684986.00	7423731.
G.1010-9602	5684968.73	7423724.
G.1010-9603	5684888.73	7423679.
G.1010-9605	5684809.86	7423668.
G.1010-9606	5684726.17	7423700.
G.1010-9617	5684624.13	7423718.
G.1010-9607	5684579.29	7423732.
G.1010-9608	5684503.15	7423768.
G.1010-9636	5684426.39	7423922.
G.1010-9643	5684120.87	7424217.
19-451	5684347.47	7424047.65
19-188	5684349.85	7424045.57
19-450	5684447.74	7423953.90
19-216	5684461.80	7423932.22
19-2100	5684470.32	7423921.92
19-218	5684479.04	7423896.15
19-166	5684493.22	7423854.18
19-2091	5684498.50	7423841.28
19-164	5684505.52	7423824.14
19-219	5684514.46	7423802.30
19-2096	5684484.28	7423889.05
19-2094	5684493.08	7423863.43
19-2097	5684480.73	7423900.65
19-2486	5684411.38	7423994.56
19-2488	5684378.64	7424023.55
19-2489	5684369.77	7424028.47
19-2492	5684355.18	7424045.78
19-2493	5684353.68	7424046.73
19-1502	5684364.33	7424049.96
19-2494	5684343.57	7424053.12
19-2495	5684342.11	7424053.46
19-2499	5684312.65	7424075.11
19-2500	5684306.96	7424077.84
19-2501	5684298.86	7424093.31
19-2502	5684297.11	7424101.81
G.1010-9580	5686570.75	7424264.29
G.1010-9611	5686519.74	7424215.09
G.1010-9620	5686501.82	7424180.40
G.1010-9581	5686496.51	7424165.14
G.1010-9621	5686487.36	7424072.75
G.1010-9619	5686469.24	7424000.64
G.1010-9612	5686461.33	7423924.42
G.1010-9613	5686338.78	7423796.63
G.1010-9622	5686305.08	7423783.59
G.1010-9586	5686258.72	7423757.84
G.1010-9623	5686244.25	7423750.58
G.1010-9588	5685983.27	7423587.13
G.1010-9589	5685858.77	7423501.93
G.1010-9590	5685798.07	7423485.98
G.1010-9591	5685699.72	7423472.13
G.1010-9628	5685540.01	7423480.36
G.1010-9592	5685526.36	7423499.66
G.1010-9627	5685492.11	7423566.63
G.1010-9630	5685419.48	7423754.51
G.1010-9594	5685388.54	7423789.20
G.1010-9595	5685341.51	7423801.60
G.1010-9597	5685210.09	7423807.20
G.1010-9598	5685131.78	7423787.65
G.1010-9633	5685056.60	7423762.16
G.1010-9600	5685024.87	7423750.18
G.1010-9604	5684851.11	7423667.40
G.1010-9616	5684770.70	7423674.83
G.1010-9609	5684482.32	7423787.20
G.1010-9610	5684458.71	7423845.26
G.1010-9634	5684447.23	7423884.89
G.1010-9635	5684442.58	7423899.07
G.1010-9637	5684421.29	7423929.47
G.1010-9638	5684402.14	7423946.01
G.1010-9639	5684323.80	7424020.21
G.1010-9640	5684279.45	7424054.70
G.1010-9641	5684249.04	7424097.78
G.1010-9642	5684226.62	7424145.56
